horizon,beta,theta,nobs,irf_p0,se_irf_p0,ci95lo_irf_p0,ci95hi_irf_p0,irf_p5,se_irf_p5,ci95lo_irf_p5,ci95hi_irf_p5,irf_p9,se_irf_p9,ci95lo_irf_p9,ci95hi_irf_p9
6,0.340371458614044,0.5175926354761523,2172,0.340371458614044,0.40939950889601734,-0.4620515788221499,1.1427944960502379,0.5991677763521202,0.7907654533500135,-0.9507325122139063,2.1490680649181466,0.8062048305425811,1.2367575002098017,-1.61783986986863,3.230249530953792
7,-0.10624070110755307,-0.5028939680508959,2171,-0.10624070110755307,0.191418876232587,-0.4814216985234236,0.26894029630831745,-0.35768768513300103,0.5860909706896343,-1.5064259876846844,0.7910506174186822,-0.5588452723533595,1.0328378808736076,-2.5832075188656303,1.4655169741589116
8,0.13853753020422258,-0.47233287684904773,2170,0.13853753020422258,0.21340504304183475,-0.27973635415777354,0.5568114145662186,-0.09762890822030129,0.6080130409238169,-1.2893344684309824,1.09407665199038,-0.2865620589599204,1.111630777438557,-2.4653583827394923,1.8922342648196513
9,0.41075173830118794,0.5055852379647272,2169,0.41075173830118794,0.45987766784884926,-0.49060849068255663,1.3121119672849324,0.6635443572835515,0.8613319995350183,-1.0246663618050842,2.3517550763721875,0.8657784524694425,1.3245802702864267,-1.7303988772919539,3.461955782230839
10,-0.17416305377731556,0.8288254581438419,2168,-0.17416305377731556,0.14174773191448464,-0.45198860832970544,0.10366250077507433,0.2402496752946054,0.49267866695119156,-0.7254005119297301,1.2058998625189408,0.5717798585521422,0.8422120954006179,-1.0789558484330688,2.2225155655373534
11,-0.16954431931186578,0.15543956809609483,2167,-0.16954431931186578,0.14088910076458513,-0.4456869568104527,0.10659831818672108,-0.09182453526381837,0.599417146533385,-1.2666821424692527,1.0830330719416161,-0.029648708025380444,1.0514693865310922,-2.0905287056263213,2.0312312895755604
12,-0.01752324894840152,-0.5188643880852319,2166,-0.01752324894840152,0.17658308453083055,-0.3636260946288294,0.32857959673202636,-0.2769554429910175,0.5149063145161747,-1.28617181944272,0.7322609334606851,-0.4845011982251103,0.9047927581500305,-2.25789500419917,1.2888926077489495
13,-0.08775761011636299,0.16116269792540588,2165,-0.08775761011636299,0.2568628607372429,-0.5912088171613591,0.41569359692863317,-0.007176261153660046,0.6079239853949157,-1.1987072725276948,1.1843547502203746,0.05728881801650232,1.0398658196697959,-1.9808481885362976,2.0954258245693023
14,0.1912511268610396,1.3347822902372288,2164,0.1912511268610396,0.3006522598233687,-0.39802730239276296,0.7805295561148422,0.858642271979654,0.689481574719105,-0.4927416144697918,2.2100261584291,1.3925551880745455,1.1348016702380401,-0.8316560855920132,3.616766461741104
15,-0.14884262758083455,0.07943290309334247,2163,-0.14884262758083455,0.2298651338911936,-0.5993782900075739,0.3016930348459049,-0.10912617603416332,0.5242678039493507,-1.1366910717748906,0.918438719706564,-0.07735301479682632,0.9162157606575463,-1.8731359056856172,1.7184298760919643
