date,tci_w60,tci_w100,tci_w150,tci_w200
2017-06-06,74.23382685646833,68.10099325034719,,
2017-06-07,73.33729867405366,68.27245662471275,,
2017-06-08,72.79128219015666,68.28765510196394,,
2017-06-09,72.73065520206241,68.13576700142765,,
2017-06-12,72.28785427835966,68.29790387493102,,
2017-06-13,72.56594695169154,68.43556554090571,,
2017-06-14,72.98628059659501,68.59932559339474,,
2017-06-15,73.33632331012774,68.98822082510058,,
2017-06-16,73.28668196306823,68.30570005205294,,
2017-06-19,73.52240164018173,68.91089606932947,,
2017-06-20,74.10607396985579,68.9805846706458,,
2017-06-21,74.05688617270535,68.72355719753577,,
2017-06-22,74.46815447797597,68.73213683721954,,
2017-06-23,74.01427971452748,68.52947284321945,,
2017-06-26,74.09794806554301,68.3425190219067,,
2017-06-27,74.18563046287777,68.18474684357669,,
2017-06-28,73.92874330500898,67.81465891978868,,
2017-06-29,74.82149979852669,68.80813132928368,,
2017-06-30,73.5867324726014,67.8379427119217,,
2017-07-03,73.1623226577093,67.78179366346136,,
2017-07-04,73.13983907699694,67.91372852837472,,
2017-07-05,72.99858834369459,67.39531916481293,,
2017-07-06,72.83349606054965,67.42611231614922,,
2017-07-07,72.26548596520085,67.85376391087887,,
2017-07-10,72.24403938467621,67.64060309056534,,
2017-07-11,72.74257209790402,67.71512071314346,,
2017-07-12,73.21609292400602,67.59079206312978,,
2017-07-13,73.24125447452975,67.22917802248048,,
2017-07-14,66.88286945075255,67.6131583119982,,
2017-07-17,67.4324404787184,67.92394413479347,,
2017-07-18,68.40942494366658,65.13120233987254,,
2017-07-19,67.66487814382742,64.98345206027845,,
2017-07-20,67.20927125803891,64.9438778705069,,
2017-07-21,67.11819504792477,64.98237672685757,,
2017-07-24,68.07402572472279,65.07163215041247,,
2017-07-25,68.29783217057735,65.03072888273996,,
2017-07-26,66.36961514710421,65.26136553386979,,
2017-07-27,67.07561007270591,65.27602925594805,,
2017-07-28,68.87241137873235,65.280738779919,63.211593417730604,
2017-07-31,68.98826313489639,65.59670340698457,63.537284517531354,
2017-08-01,68.96454994173517,65.6829253655931,63.464094680644166,
2017-08-02,68.2014206423635,65.04933736480389,63.37259294172159,
2017-08-03,68.14790963045515,64.92859778018448,63.04689860499602,
2017-08-04,67.44991833258727,64.69508631564497,63.03727437081953,
2017-08-07,67.49806699792748,65.09388844959621,62.965207317085095,
2017-08-08,65.89710939054405,65.29635422182895,62.90086723117378,
2017-08-09,64.3917412535212,65.44647690798145,63.001845737894115,
2017-08-10,63.40111628377289,65.41312001483993,62.91484294289749,
2017-08-11,63.75914456660752,65.48818791319512,63.075183659630554,
2017-08-14,64.23234530781195,65.11564043145376,63.11075202384136,
2017-08-15,64.07222354072523,64.53342402150403,62.82925706824625,
2017-08-16,63.90943198952014,64.86612675027725,62.854937449900284,
2017-08-17,63.72448364689141,64.76908577132495,62.78427953174661,
2017-08-18,62.3783974453659,64.48555000455552,62.73026469675319,
2017-08-21,62.14296293862821,64.856366238493,62.963015403175994,
2017-08-22,62.6667147999045,65.0419232873817,63.27021939374022,
2017-08-23,62.935698026004985,65.12869842237832,63.35522384988719,
2017-08-24,62.65302088644283,64.50978186876405,63.542396024432016,
2017-08-25,62.40485172679182,64.65894848679321,62.42717099538859,
2017-08-28,62.72381712968558,64.52166467114779,62.53375075797791,
2017-08-29,63.59226472330205,65.25954674837409,63.13681194153693,
2017-08-30,63.14766817563866,65.40257478624363,63.20056709166704,
2017-08-31,63.29763290191342,64.92193343223643,63.258623868438534,
