date,EMFI_w60,EMFI_w100,EMFI_w150,EMFI_w200,EMFI_w250
2019-04-11,-0.5251256826979169,-0.4043374459880246,-0.5046931763293374,-0.6028510956055443,-0.730621028270213
2019-04-12,-0.5636187038159838,-0.3824315332618114,-0.49247117612116525,-0.5895126998267881,-0.7178911124831383
2019-04-15,-0.6862241366675519,-0.48385789358355596,-0.6002615234400603,-0.6944207496148732,-0.8342670630929621
2019-04-16,-0.6799020919948163,-0.463712313382133,-0.5837064246287543,-0.6756206123735831,-0.8128825198704036
2019-04-17,-0.6651819428802178,-0.44810586834557364,-0.568345619986021,-0.6595740426038487,-0.7966694220441062
2019-04-18,-0.6383684360296761,-0.4342329164044658,-0.5594282203462236,-0.6561183292624941,-0.7883753463081385
2019-04-19,-0.7485610780654447,-0.5947430729061013,-0.7269768993141215,-0.8220170518159756,-0.9564163336224909
2019-04-22,-0.7363604626077446,-0.5986921875613199,-0.7337324359573275,-0.8305108985070481,-0.9690602369122736
2019-04-23,-0.5031976519568991,-0.3565928416830713,-0.4864468818142587,-0.5767039195793505,-0.7114851956078548
2019-04-24,-0.4575215044354055,-0.3624351254607111,-0.4195074921948307,-0.5162021228871324,-0.6464627440556121
2019-04-25,-0.46868992005007976,-0.37926160272317044,-0.4391283112980778,-0.5378184914378155,-0.6663318011209369
2019-04-26,-0.6021067785542019,-0.5514607518180805,-0.6100947357429268,-0.70535171452404,-0.8315891308069854
2019-04-29,-0.6885000096601583,-0.49630344681752103,-0.5584615014363898,-0.6533737950319056,-0.7730027935956192
2019-04-30,-0.703032832795092,-0.4884567115220127,-0.5260045652400512,-0.6247209809652606,-0.7434362871011754
2019-05-01,-0.9986316946171864,-0.666873069769693,-0.734767635087098,-0.8305794992719902,-0.9590882269448017
2019-05-02,-0.7130431424121313,-0.39244033909910064,-0.43029961354882446,-0.5291731328529629,-0.6510196627997913
2019-05-03,-0.8950123251355482,-0.6193211573090099,-0.6484122462524753,-0.7445625060572756,-0.8689358099151981
2019-05-06,-0.25012088105757857,0.04535799056194032,0.06551004791303497,-0.03781933099083369,-0.15169274977251263
2019-05-07,0.24366139384822166,0.30507123414524406,0.33336326849999437,0.23772959244136385,0.11809883799835721
2019-05-08,-0.5024081704176627,-0.42615597527856425,-0.4719389910811623,-0.5268993058317825,-0.6561220090065766
2019-05-09,0.7906384014248045,0.8742663138505617,0.8892440894386491,0.8129733834104672,0.7096311803262443
2019-05-10,-0.38509522477967567,-0.3526573656516789,-0.3990066759361411,-0.45950848308962133,-0.5809906614154742
2019-05-13,0.26904498647414316,0.335844338566267,0.3276196822825471,0.26400799231499933,0.15046787151942975
2019-05-14,-0.13423556371943962,-0.0959530269501794,-0.1031928707706335,-0.16445826051173335,-0.283390583667203
2019-05-15,-0.3743974732417088,-0.40195380034628586,-0.4132032267526213,-0.478385972160535,-0.6014804937618581
2019-05-16,0.08964414766512474,0.09054522926293272,0.11173810537854618,0.03682262998957484,-0.07099949913818368
2019-05-17,-0.3478645636520835,-0.38389348042108123,-0.40409577265292057,-0.4693393319976552,-0.58573180047639
2019-05-20,0.05156050406339881,0.043988351415585596,0.055612400035057734,-0.00472868483201498,-0.11251893722457305
2019-05-21,-0.24094605804570576,-0.24357063284650707,-0.25342713274292683,-0.3046622406632011,-0.42451818758556953
2019-05-22,-0.3335987158821478,-0.3802536265315388,-0.41498628914087676,-0.46372474013063913,-0.5871108527435136
2019-05-23,0.9675741025430029,0.915164928507819,1.0108714754708468,0.9422337899708071,0.849835667093859
2019-05-24,-0.09896317989992975,-0.24881159874102232,-0.2078895466495338,-0.2577093568387766,-0.3672491691262387
2019-05-27,-0.005101963745031556,-0.16082350636695245,-0.1110852943209536,-0.158819421255358,-0.2706489082595801
2019-05-28,0.059258628213564514,-0.17525576979939245,-0.13006319489116333,-0.18072481300334947,-0.2942950146453981
2019-05-29,0.3693143981649703,0.1484226765964224,0.2032105295459467,0.15510133059177114,0.048019504828436595
2019-05-30,0.23073681413485966,-0.005568219601123214,0.05914025060967593,0.003315643964985941,-0.10008436033558613
2019-05-31,0.1361137829087351,-0.12042600429035286,-0.04649731984490804,-0.09916908855102084,-0.20553379833751617
2019-06-03,-0.18505783635040843,-0.4371162876068961,-0.39716584085084733,-0.4512122556724125,-0.558212692036137
2019-06-04,0.13393420523522126,-0.09457249997245148,-0.03145323211543821,-0.08830989064147862,-0.18805445360701556
2019-06-05,-0.22374770731799476,-0.47348466802611183,-0.43059655152001264,-0.48399497509054984,-0.5897811824611929
2019-06-06,-0.2568195103815956,-0.5298044963945382,-0.4691921186379619,-0.5171208823493525,-0.6208608625379076
2019-06-07,-0.03678208751869212,-0.289385090636776,-0.20593110987683155,-0.26048467163830097,-0.35535508841373226
2019-06-10,-0.10056743402791266,-0.3170427042894458,-0.2455215939514688,-0.2986686892541149,-0.39490391787511586
2019-06-11,-0.01197906988807098,-0.23973666509634844,-0.15885946918177468,-0.21587053235091866,-0.3106648014066428
2019-06-12,-0.1158107502309695,-0.3696558156494911,-0.28799314471165877,-0.3499639525405951,-0.4435509494441674
2019-06-13,-0.2533517190188869,-0.47706263993286285,-0.4069627342741651,-0.470618775934127,-0.5628192186409291
2019-06-14,-0.2547588920473592,-0.48383796431497667,-0.41704704943242404,-0.4785246551478963,-0.5736362048549744
2019-06-17,-0.28202997232842747,-0.5156813565771864,-0.47204384460856286,-0.5091784964502785,-0.6075454318458776
2019-06-18,0.48190748802983596,0.33150129258610583,0.39293417843900497,0.34785693176160054,0.26484033569357773
2019-06-19,-0.3248782659421973,-0.5253917882179489,-0.5040198790894346,-0.5391957944938446,-0.6382277473375547
2019-06-20,-0.23919688345503048,-0.47406374709207694,-0.46071283588136824,-0.4994884381522291,-0.5959529684533791
2019-06-21,-0.2665019950122344,-0.4858565838744766,-0.4739701593808234,-0.5199500485445236,-0.6172860121202912
2019-06-24,-0.1678822627686431,-0.414931940021252,-0.3718545744379051,-0.4206728539375021,-0.5153470786085912
2019-06-25,-0.21752340996751657,-0.4421332461753496,-0.42100990566028107,-0.4695043220428602,-0.5653303722239429
2019-06-26,-0.28735218060014456,-0.5268212493306557,-0.509949249897034,-0.5630342977939777,-0.6600769922657085
2019-06-27,-0.18827070130548335,-0.3750189278132875,-0.332539931784599,-0.3898449693585191,-0.487439881759777
2019-06-28,-0.1873544030319336,-0.36569297728181077,-0.3317660726729214,-0.38711933454484077,-0.4796494548916238
2019-07-01,-0.08093604518370665,-0.25709324296907504,-0.22401254544125984,-0.28235882369796705,-0.3739508163128108
2019-07-02,-0.3246284807689848,-0.4984161169370808,-0.4862597717848044,-0.5483007538413777,-0.6417419118238539
