horizon,beta,beta_se,theta,theta_se,theta_tstat,theta_pval,cov_bt,nobs,converged,irf_p00,se_irf_p00,ci95lo_irf_p00,ci95hi_irf_p00,irf_p05,se_irf_p05,ci95lo_irf_p05,ci95hi_irf_p05,irf_p09,se_irf_p09,ci95lo_irf_p09,ci95hi_irf_p09
5,-0.45572977694891903,0.5414496244869358,9.304491492230596,7.247797252489023,1.2837681806062204,0.1993610298453316,-2.3645416852834655,2173,True,-0.45572977694891903,0.5414496244869358,-1.5169710409433133,0.6055114870454752,4.196515969166379,3.3258483525065357,-2.322146801746431,10.715178740079189,7.918312566058617,6.21182342980132,-4.256861356351969,20.093486488469203
6,-0.1339888930685591,0.5881810951173193,8.928651199725913,7.162475066796284,1.2465874039991074,0.21268430306868708,-1.8690262140477234,2172,True,-0.1339888930685591,0.5881810951173193,-1.286823839498505,1.0188460533613868,4.330336706794397,3.361873444558152,-2.2589352445395807,10.919608658128375,7.901797186684763,6.207701633630199,-4.265298015230427,20.068892388599952
7,-0.3281934401825055,0.6705638389680901,9.524573027831307,7.083189120949283,1.3446729806580162,0.1788724384475146,-1.7731646025346421,2171,True,-0.3281934401825055,0.6705638389680901,-1.6424985645599621,0.9861116841949511,4.434093073733148,3.349534787157845,-2.1309951090962276,10.999181256562524,8.24392228486567,6.156048225713314,-3.8219322375324243,20.309776807263766
8,-0.3573982050732955,0.6744746809493517,9.813435885383745,6.827392255559258,1.4373622487257969,0.1507604017215476,-1.8298006833386846,2170,True,-0.3573982050732955,0.6744746809493517,-1.679368579734025,0.9645721695874339,4.549319737618577,3.2060001036682264,-1.7344404655711463,10.8330799408083,8.474694091772076,5.909148477095599,-3.1072369233352983,20.05662510687945
9,-0.28686176304611516,0.6473734391824232,9.436691049381873,6.86619496330946,1.374369807412729,0.16947000956187822,-1.8914601996315588,2169,True,-0.28686176304611516,0.6473734391824232,-1.5557137038436646,0.9819901777514342,4.431483761644821,3.211509067194326,-1.8630740100560583,10.7260415333457,8.20616018139757,5.933095057598925,-3.4227061314963247,19.835026494291462
10,-0.5003014972811046,0.6326311469137714,9.20991407632588,6.874269390274458,1.339766243283371,0.18046287457995522,-1.9924429930350895,2168,True,-0.5003014972811046,0.6326311469137714,-1.7402585452320967,0.7396555506698874,4.1046555408818355,3.1971352939039717,-2.161729635169949,10.37104071693362,7.788621171412188,5.923752551983786,-3.8219338304760333,19.399176173300408
11,-0.49252613022408953,0.6631480168921849,9.080852046141967,6.689729153175787,1.357431943538559,0.17478646897261882,-1.8565244098873304,2167,True,-0.49252613022408953,0.6631480168921849,-1.792296243332772,0.807243982884593,4.047899892846894,3.1259174522263407,-2.078898313516733,10.174698099210522,7.680240711303682,5.774731771279024,-3.6382335604032043,18.99871498301057
12,-0.5090200396546836,0.6569185728451855,8.0290954571296,6.531400341202294,1.229306892501955,0.219091343345367,-1.8042675900931104,2166,True,-0.5090200396546836,0.6569185728451855,-1.796580442431247,0.7785403631218799,3.5055276889101163,3.04829001663559,-2.4691207436956395,9.480176121515871,6.7171658717619565,5.633631562943913,-4.324751991608114,17.759083735132027
13,-0.22722821029355403,0.6910907530269423,8.19238241965278,6.428136352248751,1.274456851990522,0.20263940966560645,-2.0360753586954496,2165,True,-0.22722821029355403,0.6910907530269423,-1.5817660862263612,1.127309665639253,3.8689629995328363,2.9617166155794457,-1.9360015670028772,9.67392756606855,7.1459159673939485,5.5029655389962295,-3.6398964890386605,17.931728423826556
14,-0.34465861264707964,0.7543097332348232,8.699247088262155,6.398684776273023,1.359536747382814,0.1741193299162538,-2.163376608142253,2164,True,-0.34465861264707964,0.7543097332348232,-1.823105689787333,1.1337884644931737,4.004964931483998,2.9396255343219444,-1.7567011157870134,9.766630978755009,7.484663766788859,5.462496722245637,-3.22182980881259,18.19115734239031
15,-0.4326080544100366,0.8125652891574915,8.56770619578047,6.0766761273134975,1.409932998941686,0.15870437792999134,-2.1335980704184276,2163,True,-0.4326080544100366,0.8125652891574915,-2.0252360211587197,1.1600199123386468,3.8512450434801986,2.7853478180993143,-1.6080366799944574,9.310526766954855,7.278327521792387,5.1700909039360665,-2.855050649922304,17.411705693507077
