date,VolStress,SqStress,TailVolBreadth,TailLossBreadth,TailGainBreadth,AvgCorr60,AvgCorr30
2017-03-09,0.004845917783882027,4.456346649894995e-05,,,,0.39652742068291585,0.419791548410763
2017-03-10,0.0041114830158041245,2.6830217648355948e-05,,,,0.3945631927967111,0.4260547990161884
2017-03-13,0.003188159823771835,2.7345545774353418e-05,,,,0.3924722179346991,0.38312952540149686
2017-03-14,0.00494147150986083,4.506381220507146e-05,,,,0.39766233868673734,0.39642500111693285
2017-03-15,0.0050384882203292096,4.996219288558897e-05,,,,0.3956360039578335,0.3989894412628114
2017-03-16,0.00811099655549011,9.851067518360831e-05,,,,0.3980438147087146,0.41156047516130556
2017-03-17,0.0049720260156623725,4.1738597727615436e-05,,,,0.3972272051301126,0.40715614231537367
2017-03-20,0.003418059716413209,2.251483234674988e-05,,,,0.39761469466850136,0.4089870629797954
2017-03-21,0.00605634067189894,5.3194072931430554e-05,,,,0.4022193059801999,0.4204105607851338
2017-03-22,0.0065498736079365625,7.756954022429408e-05,,,,0.4105951231558025,0.44293618059016
2017-03-23,0.006486942755268288,5.4195742375388816e-05,,,,0.40913475093009627,0.440616963328565
2017-03-24,0.0032865372040725063,3.459950776605315e-05,,,,0.40746562550339066,0.44598617061855605
2017-03-27,0.006575142010645732,7.027083193045674e-05,1.0,3.0,1.0,0.40679899580240214,0.43696077456942084
2017-03-28,0.00909227324613549,0.00013477128892136876,3.0,0.0,5.0,0.4034904205656926,0.43536413842273736
2017-03-29,0.005446511095918865,6.869181265955353e-05,1.0,1.0,0.0,0.40228562656931954,0.4380591337764604
2017-03-30,0.005722674913833153,8.221407053358515e-05,2.0,1.0,1.0,0.4018009222916059,0.43820698097493493
2017-03-31,0.00705412101194659,6.988155966081065e-05,0.0,1.0,1.0,0.3965079340689233,0.43942703570047725
2017-04-03,0.007979247981311338,9.44423616253877e-05,1.0,2.0,1.0,0.39038578956606534,0.41958857145556827
2017-04-04,0.004531755717865144,5.3236878715611555e-05,1.0,1.0,0.0,0.3922469284718425,0.41037253682778935
2017-04-05,0.005690296988033881,5.1964619586956006e-05,0.0,0.0,1.0,0.3898095597905547,0.41180674451303556
2017-04-06,0.004089488298043155,2.4250405655583787e-05,0.0,0.0,0.0,0.38670665505371404,0.4107882031913871
2017-04-07,0.004763858981124408,5.445620610346314e-05,1.0,0.0,1.0,0.39443375178677065,0.383441937929248
