date,category,systemic,prob_logit,prob_probit
2022-10-24,Absorbed,0,0.28727839833142715,0.2906172100342446
2022-10-28,Systemic,1,0.26983858683516815,0.27514472815328916
2022-11-11,Absorbed,0,0.6778495177503228,0.6469991386297965
2022-12-12,Systemic,1,0.2870385468188917,0.29144362504399995
2022-12-19,Absorbed,0,0.34690344725694583,0.3461642350181621
2022-12-26,Absorbed,0,0.21931013917300873,0.22280333386202306
2023-01-02,Localized,0,0.27544869842069536,0.2791756054871808
2023-02-20,Absorbed,0,0.11674265918258428,0.11800876079603878
2023-02-21,Localized,0,0.11674328760581101,0.11829249912554607
2023-02-24,Localized,0,0.20308068932512088,0.20534505374814188
2023-04-07,Localized,0,0.2401978191132674,0.2461507664943307
2023-04-17,Absorbed,0,0.39198120986043106,0.38565348718579273
2023-04-25,Localized,0,0.27648338966971775,0.27936203919951375
2023-05-04,Localized,0,0.22934112805158888,0.23530867272344558
2023-06-05,Absorbed,0,0.4696183030228371,0.46609889701874657
2023-06-26,Absorbed,0,0.17386831015756862,0.17244815798606788
2023-07-24,Absorbed,0,0.0839291962273122,0.08149041685032943
2023-08-15,Absorbed,0,0.14457437726773112,0.14811638794144155
2023-09-11,Localized,0,0.09637332153223392,0.09554346313669049
2023-10-09,Systemic,1,0.2640428179027632,0.2368955378612967
2023-10-17,Absorbed,0,0.21080346784275247,0.21674563369061572
2023-10-30,Systemic,1,0.147114232764393,0.15096596884947083
2023-11-06,Absorbed,0,0.28434319501384053,0.2895257697253125
2023-11-20,Absorbed,0,0.20901828162156574,0.21585051746412037
2023-11-27,Localized,0,0.11075516299297214,0.11226619859039544
2023-12-08,Localized,0,0.14119270328642608,0.14471775715791985
2023-12-25,Absorbed,0,0.264736369002271,0.26514546833850683
2024-01-01,Localized,0,0.14196830806326358,0.14567940783092181
2024-01-18,Absorbed,0,0.2633515969971748,0.26898948836436554
2024-01-23,Absorbed,0,0.07620387194649535,0.07362409525771121
2024-01-29,Absorbed,0,0.08743206711086024,0.08676357653116235
2024-02-05,Absorbed,0,0.08374962643264817,0.08061942723858379
2024-02-26,Absorbed,0,0.19280482727774792,0.19333955317084311
2024-03-25,Absorbed,0,0.1162402360621416,0.11573542453448615
2024-04-08,Absorbed,0,0.08898645039160735,0.08841878296444661
2024-04-15,Localized,0,0.06816339692117819,0.0640382888646161
2024-04-25,Absorbed,0,0.06632713395790255,0.062648012625797
2024-05-03,Localized,0,0.06524407749936567,0.061398531828405274
2024-05-06,Localized,0,0.06146930681733739,0.056874849678368054
2024-05-13,Absorbed,0,0.11554368419396785,0.11645362903758932
2024-05-20,Absorbed,0,0.05106998460276955,0.04556477542786393
2024-07-15,Absorbed,0,0.22819081311424452,0.2356327369616908
2024-08-05,Systemic,1,0.8707511735599488,0.8616917055239097
2024-08-08,Absorbed,0,0.9450750379095676,0.9485262181520406
2024-08-13,Absorbed,0,0.29881885056943575,0.3015865565418868
2024-09-02,Localized,0,0.15561320354921912,0.15969769902540792
2024-10-01,Absorbed,0,0.19468826769216233,0.21045002018661735
2024-10-07,Absorbed,0,0.2500419802712655,0.2544506543623383
2024-11-18,Absorbed,0,0.3295804698607356,0.3272192831506169
2024-12-02,Localized,0,0.08900862885333917,0.08710306869654266
2024-12-09,Absorbed,0,0.19932743675130518,0.2017741581595009
2024-12-25,Absorbed,0,0.009140902089912866,0.003631170698171498
2025-01-03,Localized,0,0.1342926480788642,0.13775148724039826
2025-01-06,Localized,0,0.10511368505375768,0.10567628018994163
2025-03-03,Systemic,1,0.09301494354228795,0.0926250651533932
2025-03-10,Absorbed,0,0.21793931272302702,0.224454331260518
2025-03-17,Absorbed,0,0.44896843048175017,0.43985034249260685
2025-03-18,Absorbed,0,0.1479140323542865,0.15336693969827336
2025-03-24,Systemic,1,0.18859554429931544,0.19548408075927137
2025-04-25,Systemic,1,0.5346359787094018,0.5148468864504385
2025-04-28,Systemic,1,0.48859788519711234,0.47467264427792305
2025-05-05,Systemic,1,0.5393107467693534,0.5335603304169289
2025-05-19,Absorbed,0,0.49669743055812277,0.4858942567268854
2025-06-02,Absorbed,0,0.5084113797305956,0.49168136370436066
2025-07-02,Localized,0,0.7465564766028568,0.7142527150975908
2025-07-14,Absorbed,0,0.5736387522991823,0.5537455247073741
2025-07-31,Localized,0,0.09156314323817559,0.08890379637198842
2025-08-12,Absorbed,0,0.10057562992335373,0.09852691733908242
2025-08-15,Localized,0,0.06764259488355266,0.06295820178311244
2025-08-25,Absorbed,0,0.20851908535811658,0.20973766051571074
2025-09-02,Absorbed,0,0.0951889260147979,0.09259013273359046
2025-09-15,Absorbed,0,0.06497085559815548,0.06032785795030738
2025-09-29,Absorbed,0,0.09672477287047976,0.09671054771791637
2025-10-06,Absorbed,0,0.05882451553328746,0.05449754744075008
2025-10-13,Absorbed,0,0.14875008646591079,0.15473864771834728
