check_id,check_name,outcome,shock,horizon,beta,se,ci95_lo,ci95_hi,nobs
R03,EMFI_3comp (no TCI),EMFI_3comp,max_shock,1,0.4762556058882906,0.40495216733175926,-0.31745064208195756,1.2699618538585387,2177.0
R03,EMFI_3comp (no TCI),EMFI_3comp,max_shock,5,0.0970666848229951,0.2157000622524738,-0.3257054371918535,0.5198388068378437,2173.0
R03,EMFI_3comp (no TCI),EMFI_3comp,max_shock,10,0.004812087109238462,0.10655784066608727,-0.20404128059629256,0.2136654548147695,2168.0
R03,EMFI_3comp (no TCI),EMFI_3comp,max_shock,20,-0.06842801273113579,0.19345040588191142,-0.44759080825968217,0.31073478279741057,2158.0
R04,AcuteEMFI (vol only),AcuteEMFI,max_shock,0,0.535332316010419,0.43057834191105426,-0.3086012341352473,1.3792658661560853,2178.0
R04,AcuteEMFI (vol only),AcuteEMFI,max_shock,1,0.4910210291539842,0.41263707358090385,-0.3177476350645873,1.2997896933725557,2177.0
R04,AcuteEMFI (vol only),AcuteEMFI,max_shock,5,0.09037582943771048,0.2077948459106407,-0.31690206854714525,0.49765372742256625,2173.0
R04,AcuteEMFI (vol only),AcuteEMFI,max_shock,10,-0.025118512211784714,0.09932111472898525,-0.2197878970805958,0.16955087265702637,2168.0
R04,AcuteEMFI (vol only),AcuteEMFI,max_shock,20,-0.11157480556424264,0.19624176949944877,-0.49620867378316225,0.27305906265467694,2158.0
R05,EqualWeight EMFI,EqWtEMFI,max_shock,0,0.23167207346342333,0.17039421118079906,-0.10230058045094281,0.5656447273777895,2178.0
R05,EqualWeight EMFI,EqWtEMFI,max_shock,1,0.22235743074184214,0.16804877894809456,-0.10701817599642319,0.5517330374801075,2177.0
R05,EqualWeight EMFI,EqWtEMFI,max_shock,5,0.08127557424538041,0.09051708336978406,-0.09613790915939634,0.25868905765015715,2173.0
R05,EqualWeight EMFI,EqWtEMFI,max_shock,10,0.05169308339063419,0.05120302071722352,-0.04866483721512391,0.1520510039963923,2168.0
R05,EqualWeight EMFI,EqWtEMFI,max_shock,20,0.010263311770095903,0.08750019093235649,-0.1612370624573228,0.1817636859975146,2158.0
R08,Placebo S_{t+30},EMFI,placebo_shock,0,-0.08333128498088782,0.28533133633835556,-0.6425807042040647,0.475918134242289,2178.0
R08,Placebo S_{t+30},EMFI,placebo_shock,1,-0.21102734507337415,0.1442238737931495,-0.49370613770794713,0.07165144756119887,2177.0
R08,Placebo S_{t+30},EMFI,placebo_shock,5,-0.20641329266860564,0.2187501280428275,-0.6351635436325476,0.22233695829533628,2173.0
R08,Placebo S_{t+30},EMFI,placebo_shock,10,-0.05873754333154213,0.17547679791435108,-0.4026720672436703,0.285196980580586,2168.0
R08,Placebo S_{t+30},EMFI,placebo_shock,20,-0.2200444154712468,0.16503387601114164,-0.5435108124530844,0.10342198151059079,2158.0
R09,AvgShock,EMFI,avg_shock_pos,0,0.47837054167955045,0.3766108040339298,-0.259786634226952,1.216527717586053,2178.0
R09,AvgShock,EMFI,avg_shock_pos,1,0.4466677466256702,0.35427422551796517,-0.24770973538954155,1.1410452286408819,2177.0
R09,AvgShock,EMFI,avg_shock_pos,5,0.15119461292368364,0.24210859021180287,-0.32333822389144995,0.6257274497388172,2173.0
R09,AvgShock,EMFI,avg_shock_pos,10,0.18217026889580626,0.1876673647901077,-0.18565776609280485,0.5499983038844174,2168.0
R09,AvgShock,EMFI,avg_shock_pos,20,0.06130543011853364,0.28012976992116784,-0.4877489189269554,0.6103597791640226,2158.0
R10,BreadthShock,EMFI,breadth_shock,0,0.051376374024443554,0.05876559012368366,-0.06380418261797641,0.16655693066686353,2178.0
R10,BreadthShock,EMFI,breadth_shock,1,0.07886332081109225,0.057959012016835273,-0.03473634274190489,0.19246298436408937,2177.0
